name,type,region,city,address,phone,latitude,longitude,rating,open_now,open_hours,distance_km,services
Newton Walk-In Medical Centre,Walk-In Clinic,Fraser Health,Surrey,13737 72 Ave,604-590-0011,49.1506,-122.8443,3.9,False,Mon-Fri 8am-8pm,31.2,"General Practice,Minor Injuries,Prescriptions"
Surrey Urgent Care Centre,Urgent Care,Fraser Health,Surrey,9671 King George Blvd,604-588-3301,49.1893,-122.8487,4.1,True,Daily 8am-10pm,28.8,"X-Rays,Lab Tests,Minor Surgery,Extended Hours"
Cloverdale Medical Walk-In,Walk-In Clinic,Fraser Health,Surrey,5765 176 St,604-575-4000,49.0981,-122.7335,4.0,False,Mon-Fri 8am-8pm,34.5,"General Practice,Minor Injuries,Prescriptions"
Burnaby Hospital,Hospital,Fraser Health,Burnaby,3935 Kincaid St,604-434-4211,49.2489,-122.9761,4.1,True,Open 24/7,11.4,"Emergency,Surgery,ICU,Specialists"
Metrotown Walk-In Clinic,Walk-In Clinic,Fraser Health,Burnaby,4820 Kingsway,604-439-0055,49.2266,-122.9993,4.2,True,Daily 9am-9pm,13.1,"General Practice,Minor Injuries,Prescriptions"
Burnaby Lake Medical Clinic,Walk-In Clinic,Fraser Health,Burnaby,6478 Deer Lake Ave,604-294-0000,49.2391,-122.9559,4.0,False,Mon-Fri 8am-8pm,11.8,"General Practice,Minor Injuries,Prescriptions"
Brentwood Urgent Care Centre,Urgent Care,Fraser Health,Burnaby,4567 Lougheed Hwy,778-397-2200,49.2666,-122.9997,4.3,False,Daily 8am-10pm,9.2,"X-Rays,Lab Tests,Minor Surgery,Extended Hours"
Richmond Hospital,Hospital,Vancouver Coastal Health,Richmond,7000 Westminster Hwy,604-278-9711,49.1687,-123.1376,4.2,True,Open 24/7,14.7,"Emergency,Surgery,ICU,Specialists"
Richmond Centre Walk-In,Walk-In Clinic,Vancouver Coastal Health,Richmond,6111 Buswell St,604-278-3211,49.1703,-123.1345,4.1,False,Daily 9am-9pm,14.9,"General Practice,Minor Injuries,Prescriptions"
Steveston Medical Clinic,Walk-In Clinic,Vancouver Coastal Health,Richmond,3791 Moncton St,604-274-3211,49.1259,-123.1873,3.9,False,Mon-Fri 8am-8pm,17.8,"General Practice,Minor Injuries,Prescriptions"
Eagle Ridge Hospital,Hospital,Fraser Health,Coquitlam,475 Guildford Way,604-461-2022,49.2699,-122.8272,4.3,True,Open 24/7,22.3,"Emergency,Surgery,ICU,Specialists"
Coquitlam Walk-In Clinic,Walk-In Clinic,Fraser Health,Coquitlam,2963 Glen Dr,604-464-1500,49.2822,-122.7929,4.1,False,Mon-Fri 8am-8pm,20.8,"General Practice,Minor Injuries,Prescriptions"
Port Coquitlam Medical Walk-In,Walk-In Clinic,Fraser Health,Coquitlam,2475 Shaughnessy St,604-944-2244,49.2631,-122.7741,4.0,True,Daily 9am-9pm,22.1,"General Practice,Minor Injuries,Prescriptions"
Lions Gate Hospital,Hospital,Vancouver Coastal Health,North Vancouver,231 E 15th St,604-988-3131,49.3220,-123.0724,4.3,True,Open 24/7,12.4,"Emergency,Surgery,ICU,Specialists"
Lonsdale Medical Walk-In,Walk-In Clinic,Vancouver Coastal Health,North Vancouver,1515 Lonsdale Ave,604-904-5200,49.3170,-123.0699,4.2,True,Daily 9am-9pm,12.6,"General Practice,Minor Injuries,Prescriptions"
North Shore Urgent Care,Urgent Care,Vancouver Coastal Health,North Vancouver,239 W 15th St,604-988-7455,49.3208,-123.0754,4.4,False,Daily 8am-10pm,12.3,"X-Rays,Lab Tests,Minor Surgery,Extended Hours"
Langley Memorial Hospital,Hospital,Fraser Health,Langley,22051 Fraser Hwy,604-534-4121,49.1031,-122.6589,4.1,True,Open 24/7,44.2,"Emergency,Surgery,ICU,Specialists"
Langley Walk-In Medical Clinic,Walk-In Clinic,Fraser Health,Langley,20120 64th Ave,604-534-8822,49.1011,-122.6603,4.0,False,Mon-Fri 8am-8pm,44.7,"General Practice,Minor Injuries,Prescriptions"
Abbotsford Regional Hospital,Hospital,Fraser Health,Abbotsford,32900 Marshall Rd,604-851-4700,49.0478,-122.3212,4.3,True,Open 24/7,60.1,"Emergency,Surgery,ICU,Specialists"
Abbotsford Urgent Care Centre,Urgent Care,Fraser Health,Abbotsford,32450 Simon Ave,604-853-2556,49.0504,-122.3045,4.0,False,Daily 8am-10pm,60.4,"X-Rays,Lab Tests,Minor Surgery,Extended Hours"
Kelowna General Hospital,Hospital,Interior Health,Kelowna,2268 Pandosy St,250-862-4000,49.8748,-119.4871,4.5,True,Open 24/7,394.2,"Emergency,Surgery,ICU,Specialists"
Kelowna Medical Walk-In,Walk-In Clinic,Interior Health,Kelowna,1634 Harvey Ave,250-763-7414,49.8876,-119.4613,4.1,True,Daily 9am-9pm,394.8,"General Practice,Minor Injuries,Prescriptions"
Kelowna Urgent Care Centre,Urgent Care,Interior Health,Kelowna,1979 Springfield Rd,250-762-5200,49.8839,-119.4231,4.2,False,Daily 8am-10pm,395.1,"X-Rays,Lab Tests,Minor Surgery,Extended Hours"
Victoria General Hospital,Hospital,Island Health,Victoria,1 Hospital Way,250-727-4212,48.4643,-123.4063,4.4,True,Open 24/7,96.8,"Emergency,Surgery,ICU,Specialists"
Royal Jubilee Hospital,Hospital,Island Health,Victoria,1952 Bay St,250-370-8000,48.4331,-123.3481,4.3,True,Open 24/7,97.2,"Emergency,Surgery,ICU,Specialists"
Victoria Walk-In Clinic,Walk-In Clinic,Island Health,Victoria,3120 Tillicum Rd,250-384-4000,48.4512,-123.3721,4.0,False,Mon-Fri 8am-8pm,97.4,"General Practice,Minor Injuries,Prescriptions"
Oak Bay Urgent Care,Urgent Care,Island Health,Victoria,1983 Oak Bay Ave,250-595-1444,48.4267,-123.3256,4.3,True,Daily 8am-10pm,98.1,"X-Rays,Lab Tests,Minor Surgery,Extended Hours"
University Hospital of Northern BC,Hospital,Northern Health,Prince George,1475 Edmonton St,250-565-2000,53.9143,-122.7722,4.2,True,Open 24/7,785.3,"Emergency,Surgery,ICU,Specialists"
Prince George Walk-In Medical,Walk-In Clinic,Northern Health,Prince George,1444 15th Ave,250-564-6303,53.9125,-122.7534,3.8,False,Mon-Fri 8am-8pm,785.1,"General Practice,Minor Injuries,Prescriptions"
Royal Inland Hospital,Hospital,Interior Health,Kamloops,311 Columbia St,250-374-5111,50.6756,-120.3416,4.3,True,Open 24/7,353.2,"Emergency,Surgery,ICU,Specialists"
Kamloops Walk-In Medical Clinic,Walk-In Clinic,Interior Health,Kamloops,460 Lansdowne St,250-377-8880,50.6689,-120.3322,4.0,True,Daily 9am-9pm,353.5,"General Practice,Minor Injuries,Prescriptions"
Nanaimo Regional General Hospital,Hospital,Island Health,Nanaimo,1200 Dufferin Cres,250-754-2141,49.1654,-123.9488,4.2,True,Open 24/7,111.4,"Emergency,Surgery,ICU,Specialists"
Nanaimo Medical Walk-In,Walk-In Clinic,Island Health,Nanaimo,1220 Southgate St,250-753-3431,49.1581,-123.9371,4.1,False,Mon-Fri 8am-8pm,111.8,"General Practice,Minor Injuries,Prescriptions"
